Plan ID,SIM_COMPANY,OFFER_PRICE,VALIDITY,DATA_PER_DAY,ADDITIONAL DATA,SMS_PER_DAY,ADDITIONAL_SMS,DISNEY+HOTSTAR,COST_PER_DAY
PLAN0001,AIRTEL,455,84,0.0,6.0,0,900,0,5.42
PLAN0002,AIRTEL,299,28,2.0,0.0,100,0,0,10.68
PLAN0003,AIRTEL,479,56,1.5,0.0,100,0,0,8.55
PLAN0004,AIRTEL,155,24,0.0,1.0,0,300,0,6.46
PLAN0005,AIRTEL,179,28,0.0,2.0,0,300,0,6.39
PLAN0006,AIRTEL,719,84,1.5,0.0,100,0,0,8.56
PLAN0007,AIRTEL,265,28,1.0,0.0,100,0,0,9.46
PLAN0008,AIRTEL,209,21,1.0,0.0,100,0,0,9.95
PLAN0009,AIRTEL,666,77,1.5,0.0,100,0,0,8.65
PLAN0010,AIRTEL,549,56,2.0,0.0,100,0,0,9.8
PLAN0011,AIRTEL,699,56,3.0,0.0,100,0,0,12.48
PLAN0012,AIRTEL,239,24,1.0,0.0,100,0,0,9.96
PLAN0013,AIRTEL,296,30,0.0,25.0,100,0,0,9.87
PLAN0014,AIRTEL,319,30,2.0,0.0,100,0,0,10.63
PLAN0015,AIRTEL,359,28,2.0,0.0,100,0,0,12.82
PLAN0016,AIRTEL,999,84,2.5,0.0,100,0,0,11.89
PLAN0017,VI,299,28,1.5,0.0,100,0,0,10.68
PLAN0018,VI,359,28,3.0,0.0,100,0,0,12.82
PLAN0019,VI,479,56,1.5,0.0,100,0,0,8.55
PLAN0020,VI,719,84,1.5,0.0,100,0,0,8.56
PLAN0021,VI,399,28,2.5,0.0,100,0,3,14.25
PLAN0022,VI,179,28,0.0,2.0,0,300,0,6.39
PLAN0023,VI,195,31,0.0,2.0,0,300,0,6.29
PLAN0024,VI,499,28,2.0,0.0,100,0,12,17.82
PLAN0025,VI,901,70,3.0,0.0,100,0,12,12.87
PLAN0026,VI,459,84,0.0,6.0,0,1000,0,5.46
PLAN0027,VI,269,28,1.0,0.0,100,0,0,9.61
PLAN0028,VI,337,31,0.0,28.0,100,0,0,10.87
PLAN0029,VI,601,28,3.0,0.0,100,0,12,21.46
PLAN0030,VI,475,28,4.0,0.0,100,0,0,16.96
PLAN0031,VI,319,31,2.0,0.0,100,0,0,10.29
PLAN0032,VI,666,77,1.5,0.0,100,0,0,8.65
PLAN0033,VI,239,24,1.0,0.0,100,0,0,9.96
PLAN0034,VI,699,56,3.0,0.0,100,0,0,12.48
PLAN0035,VI,539,56,2.0,0.0,100,0,0,9.62
PLAN0036,VI,839,84,2.0,0.0,100,0,0,9.99
PLAN0037,VI,2899,365,1.5,0.0,100,0,0,7.94
PLAN0038,VI,1799,365,0.0,24.0,0,3600,0,4.93
PLAN0039,VI,409,28,3.5,0.0,100,0,0,14.61
PLAN0040,VI,1449,180,1.5,0.0,100,0,0,8.05
PLAN0041,VI,327,30,0.0,25.0,100,0,0,10.9
PLAN0042,VI,537,60,0.0,50.0,100,0,0,8.95
PLAN0043,VI,98,15,0.0,0.2,0,0,0,6.53
PLAN0044,VI,329,56,0.0,4.0,0,600,0,5.88
PLAN0045,VI,109,15,0.0,0.2,0,0,0,7.27
PLAN0046,VI,1066,84,2.0,0.0,100,0,12,12.69
PLAN0047,VI,599,70,1.5,0.0,100,0,0,8.56
PLAN0048,VI,199,18,1.0,0.0,100,0,0,11.06
PLAN0049,VI,249,21,1.5,0.0,100,0,0,11.86
PLAN0050,VI,129,18,0.0,0.2,0,0,0,7.17
PLAN0051,VI,219,21,1.0,0.0,100,0,0,10.43
PLAN0052,VI,149,21,0.0,1.0,0,0,0,7.1
PLAN0053,VI,3099,365,2.0,0.0,100,0,12,8.49
PLAN0054,VI,155,24,0.0,1.0,0,300,0,6.46
PLAN0055,VI,209,28,0.0,4.0,100,0,0,7.46
